fips,usps,state_name,county_name,offices,population,coverage_per_10k
49045,UT,Utah,Tooele County,3.0,76648.0,0.39139964513098846
45039,SC,South Carolina,Fairfield County,1.0,20741.0,0.48213683043247674
37079,NC,North Carolina,Greene County,1.0,20421.0,0.4896919837422261
02170,AK,Alaska,Matanuska-Susitna Borough,6.0,110677.0,0.5421180552418298
26079,MI,Michigan,Kalkaska County,1.0,18116.0,0.5519982336056525
08093,CO,Colorado,Park County,1.0,17739.0,0.563729635266926
37015,NC,North Carolina,Bertie County,1.0,17482.0,0.5720169317011784
37131,NC,North Carolina,Northampton County,1.0,17212.0,0.5809900069718801
51685,VA,Virginia,Manassas Park city,1.0,16923.0,0.590911776871713
06115,CA,California,Yuba County,5.0,83079.0,0.6018368059317036
51033,VA,Virginia,Caroline County,2.0,31541.0,0.63409530452427
06035,CA,California,Lassen County,2.0,31177.0,0.6414985405908201
12125,FL,Florida,Union County,1.0,15551.0,0.6430454633142563
06025,CA,California,Imperial County,12.0,179319.0,0.6691984675355093
37111,NC,North Carolina,McDowell County,3.0,44679.0,0.6714563889075404
12039,FL,Florida,Gadsden County,3.0,43642.0,0.6874112093854544
51149,VA,Virginia,Prince George County,3.0,42873.0,0.6997410957945561
35031,NM,New Mexico,McKinley County,5.0,71172.0,0.702523464283707
51065,VA,Virginia,Fluvanna County,2.0,27764.0,0.7203572972194209
35006,NM,New Mexico,Cibola County,2.0,27059.0,0.7391256143981669
12047,FL,Florida,Hamilton County,1.0,13445.0,0.7437709185570844
13179,GA,Georgia,Liberty County,5.0,66826.0,0.7482117738604734
37093,NC,North Carolina,Hoke County,4.0,53102.0,0.753267296900305
04001,AZ,Arizona,Apache County,5.0,65680.0,0.761266747868453
13035,GA,Georgia,Butts County,2.0,26074.0,0.7670476336580502
