fips,statefp,usps,state_name,county_name,offices,deposits,population,median_income,poverty_rate,unemployment_rate,pct_bachelors,state,county,coverage_per_10k,small_pop_flag,underserved_flag,log_pop
01001,01,AL,Alabama,Autauga County,15.0,905351.0,59285.0,69841.0,10.684306413989205,2.541558921315109,28.28267961831874,1,1,2.5301509656742853,False,False,10.99011160189217
01003,01,AL,Alabama,Baldwin County,85.0,6656527.0,239945.0,75019.0,10.514698717595671,3.194281220454003,32.79763704444496,1,3,3.5424784846527326,False,False,12.388165009394768
01005,01,AL,Alabama,Barbour County,10.0,455414.0,24757.0,44290.0,21.92147806004619,5.708618029534935,11.464715225777173,1,5,4.03926162297532,False,False,10.116863556291285
01007,01,AL,Alabama,Bibb County,7.0,304312.0,22152.0,51215.0,20.51158533648056,9.984,11.468206641139917,1,7,3.1599855543517514,False,False,10.005683064850798
01009,01,AL,Alabama,Blount County,14.0,965725.0,59292.0,61096.0,14.095286797920394,5.835172921265636,15.57902954307043,1,9,2.361195439519665,False,False,10.99022966863375
01011,01,AL,Alabama,Bullock County,2.0,124606.0,10157.0,36723.0,25.651127161304444,5.873180873180874,8.999728923827595,1,11,1.9690853598503495,False,False,9.2259184019395
01013,01,AL,Alabama,Butler County,9.0,381332.0,18807.0,44881.0,21.015866139600366,6.790431098928483,13.764813126709207,1,13,4.785452225235285,False,False,9.841984419942078
01015,01,AL,Alabama,Calhoun County,30.0,2493774.0,116141.0,55826.0,17.462188175211157,6.438023017559985,20.545105370928564,1,15,2.5830671339148106,False,False,11.662560249186889
01017,01,AL,Alabama,Chambers County,7.0,430576.0,34450.0,49295.0,15.480078380143697,4.961757207295548,14.585035124979578,1,17,2.0319303338171264,False,False,10.447264276441805
01019,01,AL,Alabama,Cherokee County,8.0,421760.0,25224.0,50769.0,14.523339643159208,3.4393009853132552,15.945039143633169,1,19,3.1715826197272436,False,False,10.135551201224898
01021,01,AL,Alabama,Chilton County,11.0,549228.0,45500.0,61873.0,13.614793360810962,5.3953768239482525,15.24701596903763,1,21,2.4175824175824174,False,False,10.725467604939041
01023,01,AL,Alabama,Choctaw County,5.0,266531.0,12525.0,44483.0,19.53055443140429,5.50249169435216,13.914203156256946,1,23,3.992015968063872,False,False,9.435481925953065
01025,01,AL,Alabama,Clarke County,12.0,669366.0,22802.0,49167.0,20.54311959332917,13.1590319792567,15.426531379180759,1,25,5.262696254714499,False,False,10.034603530393666
01027,01,AL,Alabama,Clay County,4.0,280930.0,14188.0,51852.0,16.5465032444124,3.482411171999293,15.235403060727165,1,27,2.8192839018889204,False,False,9.560151815893512
01029,01,AL,Alabama,Cleburne County,4.0,211295.0,15254.0,53319.0,13.154754011404323,1.5453639082751744,18.211951017401713,1,29,2.6222630129802016,False,False,9.632597042724184
01031,01,AL,Alabama,Coffee County,11.0,1072116.0,54231.0,64672.0,17.618860363649983,4.346691032502284,21.528831562974204,1,31,2.0283601630063988,False,False,10.901007979642964
01033,01,AL,Alabama,Colbert County,15.0,1291204.0,57648.0,56736.0,16.876468319366037,3.2783237530131655,20.271853189516325,1,33,2.6019983347210656,False,False,10.962110832987875
01035,01,AL,Alabama,Conecuh County,2.0,119853.0,11411.0,42266.0,27.63530244074991,8.267922553636838,13.129075919773594,1,35,1.752694768206117,False,False,9.34233308143468
01037,01,AL,Alabama,Coosa County,,,,,,,,,,,False,False,
01039,01,AL,Alabama,Covington County,11.0,1005729.0,37647.0,50886.0,18.04310251701415,4.564105801401427,17.177519936505536,1,39,2.921879565436821,False,False,10.536008548778417
01041,01,AL,Alabama,Crenshaw County,4.0,300069.0,13144.0,49040.0,16.190772582276512,4.866850321395775,16.805799648506152,1,41,3.0432136335970785,False,False,9.483720659717104
01043,01,AL,Alabama,Cullman County,33.0,2473647.0,89463.0,60916.0,13.901887645529559,4.176974995796604,19.08653846153846,1,43,3.6886757654002214,False,False,11.401580410965146
01045,01,AL,Alabama,Dale County,7.0,429100.0,49516.0,53955.0,18.71096728981594,6.797488226059654,19.327855284937336,1,45,1.413684465627272,False,True,10.8100511286517
01047,01,AL,Alabama,Dallas County,8.0,735226.0,37536.0,36810.0,29.000836458811147,10.91411318815443,17.007096091269062,1,47,2.131287297527707,False,False,10.533055751453203
01049,01,AL,Alabama,DeKalb County,23.0,1153033.0,71946.0,51149.0,20.359848484848484,4.247671438394699,13.880406074612084,1,49,3.1968420760014458,False,False,11.183671116607488
01051,01,AL,Alabama,Elmore County,20.0,1231166.0,88669.0,75553.0,10.285062171607903,3.9060790938479863,24.394340719684735,1,51,2.255579740382772,False,False,11.392665614538945
01053,01,AL,Alabama,Escambia County,17.0,1779005.0,36695.0,44447.0,21.204042771349055,9.145364630493836,12.490685909251344,1,53,4.632783758005178,False,False,10.510395784979163
01055,01,AL,Alabama,Etowah County,22.0,1508856.0,103208.0,53070.0,17.099703229103202,6.308375772022972,17.476918836984982,1,55,2.1316177040539492,False,False,11.544501648404973
01057,01,AL,Alabama,Fayette County,6.0,469712.0,16173.0,50733.0,18.66155104094597,9.475069454598625,15.597147950089127,1,57,3.709886848451122,False,False,9.69109846411978
01059,01,AL,Alabama,Franklin County,17.0,798938.0,31978.0,51493.0,17.37475013484786,3.597328929417678,14.889393079977312,1,59,5.316154856463819,False,False,10.372803445345365
01061,01,AL,Alabama,Geneva County,9.0,491406.0,26726.0,50951.0,19.0532051767199,4.915210467418438,13.316463703938004,1,61,3.3675072962658086,False,False,10.193392153341007
01063,01,AL,Alabama,Greene County,2.0,108178.0,7589.0,31495.0,35.9121171770972,3.337403337403337,12.476298824421692,1,63,2.635393332454869,False,False,8.934455109403913
01065,01,AL,Alabama,Hale County,3.0,310715.0,14749.0,41325.0,23.893193137797457,5.8803122289679095,16.773675762439808,1,65,2.034036205844464,False,False,9.598930562859502
01067,01,AL,Alabama,Henry County,7.0,350981.0,17450.0,60135.0,15.794408955048937,3.29485017511999,21.678981292249645,1,67,4.011461318051576,False,False,9.767094927630573
01069,01,AL,Alabama,Houston County,34.0,3411360.0,107628.0,57531.0,18.03509694874493,4.561331415656462,22.768156799570413,1,69,3.1590292488943397,False,False,11.586436115906004
01071,01,AL,Alabama,Jackson County,19.0,1162793.0,52839.0,49454.0,16.7671778377654,5.37856661424399,15.55027711797308,1,71,3.595828838547285,False,False,10.875004833400405
01073,01,AL,Alabama,Jefferson County,180.0,40993155.0,669744.0,64589.0,16.33237558760307,4.806028587848781,35.93676101479785,1,73,2.687594065792303,False,False,13.414650828800097
01075,01,AL,Alabama,Lamar County,5.0,296374.0,13809.0,47447.0,15.060284983558642,6.398996235884567,11.591695501730104,1,75,3.620826996886089,False,False,9.533075832485352
01077,01,AL,Alabama,Lauderdale County,33.0,2565685.0,95037.0,59082.0,13.64000953846821,3.9328579653660483,27.084135466880227,1,77,3.4723318286562077,False,False,11.4620215684417
01079,01,AL,Alabama,Lawrence County,6.0,405773.0,33182.0,60040.0,13.740318350917851,2.0555818513760227,15.620188195038494,1,79,1.8082092700861914,False,False,10.409762839203301
01081,01,AL,Alabama,Lee County,41.0,4469525.0,177663.0,61123.0,18.869221414765683,3.7106677344847196,41.333333333333336,1,81,2.307739934595273,False,False,12.087643776368221
01083,01,AL,Alabama,Limestone County,18.0,1235358.0,107577.0,83534.0,10.142422234386855,3.7012698351340383,30.391300896896578,1,83,1.6732201121057475,False,False,11.5859621492142
01085,01,AL,Alabama,Lowndes County,3.0,106011.0,10008.0,35160.0,29.591629418935394,7.241555783009213,13.873410487212459,1,85,2.997601918465228,False,False,9.211140052146748
01087,01,AL,Alabama,Macon County,3.0,110289.0,18951.0,45951.0,22.093734703866865,10.68100358422939,20.735785953177256,1,87,1.5830299192654742,False,False,9.84961197956681
01089,01,AL,Alabama,Madison County,99.0,10168756.0,397135.0,83528.0,10.482494149148708,3.7899206918617057,45.690290909491154,1,89,2.492855074470898,False,False,12.892031552243136
01091,01,AL,Alabama,Marengo County,10.0,490311.0,19027.0,44205.0,22.56571246142386,2.3972602739726026,20.414475719146306,1,91,5.25568928364955,False,False,9.8536143020404
01093,01,AL,Alabama,Marion County,11.0,709356.0,29190.0,50714.0,16.847673766816143,6.159180977542933,12.831879728232062,1,93,3.7684138403562866,False,False,10.28158146384816
