fips,usps,state_name,county_name,offices,population,coverage_per_10k
31077,NE,Nebraska,Greeley County,7.0,2211.0,31.659882406151063
31015,NE,Nebraska,Boyd County,5.0,1704.0,29.342723004694832
46075,SD,South Dakota,Jones County,3.0,1030.0,29.12621359223301
48045,TX,Texas,Briscoe County,3.0,1223.0,24.529844644317254
38095,ND,North Dakota,Towner County,5.0,2113.0,23.6630383341221
31133,NE,Nebraska,Pawnee County,6.0,2539.0,23.631350925561243
38039,ND,North Dakota,Griggs County,5.0,2340.0,21.36752136752137
20097,KS,Kansas,Kiowa County,5.0,2422.0,20.644095788604456
31083,NE,Nebraska,Harlan County,6.0,3006.0,19.96007984031936
38063,ND,North Dakota,Nelson County,6.0,3015.0,19.90049751243781
48447,TX,Texas,Throckmorton County,3.0,1589.0,18.879798615481434
20135,KS,Kansas,Ness County,5.0,2659.0,18.804061677322302
31069,NE,Nebraska,Garden County,3.0,1620.0,18.51851851851852
31169,NE,Nebraska,Thayer County,9.0,4938.0,18.226002430133658
20063,KS,Kansas,Gove County,5.0,2796.0,17.8826895565093
38033,ND,North Dakota,Golden Valley County,3.0,1679.0,17.867778439547347
20033,KS,Kansas,Comanche County,3.0,1685.0,17.80415430267062
31065,NE,Nebraska,Furnas County,8.0,4605.0,17.37242128121607
38091,ND,North Dakota,Steele County,3.0,1731.0,17.33102253032929
08017,CO,Colorado,Cheyenne County,3.0,1732.0,17.321016166281755
20089,KS,Kansas,Jewell County,5.0,2909.0,17.188037126160193
31129,NE,Nebraska,Nuckolls County,7.0,4089.0,17.119100024455857
20165,KS,Kansas,Rush County,5.0,2957.0,16.909029421711192
31165,NE,Nebraska,Sioux County,2.0,1197.0,16.70843776106934
31071,NE,Nebraska,Garfield County,3.0,1797.0,16.69449081803005
