fips,offices_2015,offices_2024,delta_offices,pct_change_offices,deposits_2015,deposits_2024,delta_deposits,pct_change_deposits,usps,state_name,county_name,region,division
01001,19.0,15.0,-4.0,-21.05263157894737,530868.0,905351.0,374483.0,70.54164123661626,AL,Alabama,Autauga County,3,6
01003,88.0,85.0,-3.0,-3.409090909090909,3863945.0,6656527.0,2792582.0,72.27281961829166,AL,Alabama,Baldwin County,3,6
01005,13.0,10.0,-3.0,-23.076923076923077,409403.0,455414.0,46011.0,11.238559561117041,AL,Alabama,Barbour County,3,6
01007,8.0,7.0,-1.0,-12.5,170558.0,304312.0,133754.0,78.42141676145359,AL,Alabama,Bibb County,3,6
01009,12.0,14.0,2.0,16.666666666666668,532577.0,965725.0,433148.0,81.33058693860231,AL,Alabama,Blount County,3,6
01011,2.0,2.0,0.0,0.0,116359.0,124606.0,8247.0,7.087548019491401,AL,Alabama,Bullock County,3,6
01013,9.0,9.0,0.0,0.0,280006.0,381332.0,101326.0,36.187081705392025,AL,Alabama,Butler County,3,6
01015,34.0,30.0,-4.0,-11.764705882352942,1598983.0,2493774.0,894791.0,55.96000707949991,AL,Alabama,Calhoun County,3,6
01017,9.0,7.0,-2.0,-22.22222222222222,290861.0,430576.0,139715.0,48.03497203131393,AL,Alabama,Chambers County,3,6
01019,7.0,8.0,1.0,14.285714285714286,268591.0,421760.0,153169.0,57.02685495790998,AL,Alabama,Cherokee County,3,6
01021,11.0,11.0,0.0,0.0,363652.0,549228.0,185576.0,51.0312056581567,AL,Alabama,Chilton County,3,6
01023,5.0,5.0,0.0,0.0,205770.0,266531.0,60761.0,29.52859989308451,AL,Alabama,Choctaw County,3,6
01025,18.0,12.0,-6.0,-33.333333333333336,512048.0,669366.0,157318.0,30.72329156641565,AL,Alabama,Clarke County,3,6
01027,4.0,4.0,0.0,0.0,181369.0,280930.0,99561.0,54.89416603719489,AL,Alabama,Clay County,3,6
01029,6.0,4.0,-2.0,-33.333333333333336,180812.0,211295.0,30483.0,16.85894741499458,AL,Alabama,Cleburne County,3,6
01031,14.0,11.0,-3.0,-21.428571428571427,595498.0,1072116.0,476618.0,80.03687669815852,AL,Alabama,Coffee County,3,6
01033,19.0,15.0,-4.0,-21.05263157894737,933399.0,1291204.0,357805.0,38.33355296073812,AL,Alabama,Colbert County,3,6
01035,3.0,2.0,-1.0,-33.333333333333336,113414.0,119853.0,6439.0,5.677429594229989,AL,Alabama,Conecuh County,3,6
01037,2.0,,,,17673.0,,,,AL,Alabama,Coosa County,3,6
01039,14.0,11.0,-3.0,-21.428571428571427,762401.0,1005729.0,243328.0,31.916012701977042,AL,Alabama,Covington County,3,6
01041,5.0,4.0,-1.0,-20.0,194209.0,300069.0,105860.0,54.50828746350581,AL,Alabama,Crenshaw County,3,6
01043,32.0,33.0,1.0,3.125,1542846.0,2473647.0,930801.0,60.33013016205117,AL,Alabama,Cullman County,3,6
01045,11.0,7.0,-4.0,-36.36363636363637,309739.0,429100.0,119361.0,38.53599320718411,AL,Alabama,Dale County,3,6
01047,12.0,8.0,-4.0,-33.333333333333336,465568.0,735226.0,269658.0,57.92021788439068,AL,Alabama,Dallas County,3,6
01049,26.0,23.0,-3.0,-11.538461538461538,839186.0,1153033.0,313847.0,37.39897948726504,AL,Alabama,DeKalb County,3,6
01051,22.0,20.0,-2.0,-9.090909090909092,758602.0,1231166.0,472564.0,62.2940619718904,AL,Alabama,Elmore County,3,6
01053,19.0,17.0,-2.0,-10.526315789473685,583810.0,1779005.0,1195195.0,204.72328325996472,AL,Alabama,Escambia County,3,6
