fips,usps,state_name,county_name,dep_per_branch,pred_dep_per_branch
28055,MS,Mississippi,Issaquena County,13601.0,26328.545840090537
31091,NE,Nebraska,Hooker County,48784.0,26553.754787999023
31115,NE,Nebraska,Loup County,33980.0,28054.4893292469
31085,NE,Nebraska,Hayes County,28685.0,28322.126796595472
31171,NE,Nebraska,Thomas County,30141.0,29182.42023891202
31183,NE,Nebraska,Wheeler County,17133.5,30440.684339378222
31113,NE,Nebraska,Logan County,27078.0,31059.94066108009
31075,NE,Nebraska,Grant County,22345.0,31082.845951195188
20033,KS,Kansas,Comanche County,30970.666666666668,31220.8499423175
31103,NE,Nebraska,Keya Paha County,19837.0,31360.864171538884
31007,NE,Nebraska,Banner County,37912.0,31636.759272203286
20101,KS,Kansas,Lane County,74287.0,31789.541306026735
20199,KS,Kansas,Wallace County,67737.0,32107.610263764287
31165,NE,Nebraska,Sioux County,19361.5,32587.78309268658
48311,TX,Texas,McMullen County,81999.0,32615.4064478072
31069,NE,Nebraska,Garden County,33145.666666666664,33044.5823075574
08061,CO,Colorado,Kiowa County,49568.0,33267.58571833099
31015,NE,Nebraska,Boyd County,21564.4,33349.046577331894
29227,MO,Missouri,Worth County,47376.0,33745.0920096786
20075,KS,Kansas,Hamilton County,124652.0,33927.428754985805
