fips,usps,state_name,county_name,dep_per_branch,pred_dep_per_branch
10003,DE,Delaware,New Castle County,2598876.5576923075,1005204.7457594245
10005,DE,Delaware,Sussex County,1875345.9841269841,786663.9378986462
10001,DE,Delaware,Kent County,112954.0,696185.3762027607
11001,DC,District of Columbia,District of Columbia,349293.37158469943,349293.3712558107
06037,CA,California,Los Angeles County,351999.15605318407,347334.37419100065
06085,CA,California,Santa Clara County,542217.6027397261,331659.1582654885
06059,CA,California,Orange County,304440.6270871985,305476.0109755514
06073,CA,California,San Diego County,277598.60753880267,299247.51418872847
06001,CA,California,Alameda County,269572.43265306123,294718.3019591457
06075,CA,California,San Francisco County,1268905.7405660378,287540.35983927967
04013,AZ,Arizona,Maricopa County,264130.0250783699,284874.79389106436
06081,CA,California,San Mateo County,277355.03571428574,265490.33800459834
15003,HI,Hawaii,Honolulu County,306351.4761904762,265471.8124535672
25017,MA,Massachusetts,Middlesex County,181310.2265795207,262052.2965390964
51059,VA,Virginia,Fairfax County,404401.6064257028,259087.50267322958
06013,CA,California,Contra Costa County,305406.2573099415,257430.74670585615
13121,GA,Georgia,Fulton County,494147.5532786885,256305.52288387722
48201,TX,Texas,Harris County,301827.91234140715,254553.19981761774
36061,NY,New York,New York County,3068286.2854442345,249856.8510258266
48453,TX,Texas,Travis County,208580.7735042735,244555.78888027644
