fips,failures_count,failure_flag,usps,state_name,county_name,statefp
01001,0,0,AL,Alabama,Autauga County,01
01003,0,0,AL,Alabama,Baldwin County,01
01005,0,0,AL,Alabama,Barbour County,01
01007,0,0,AL,Alabama,Bibb County,01
01009,0,0,AL,Alabama,Blount County,01
01011,0,0,AL,Alabama,Bullock County,01
01013,0,0,AL,Alabama,Butler County,01
01015,0,0,AL,Alabama,Calhoun County,01
01017,0,0,AL,Alabama,Chambers County,01
01019,0,0,AL,Alabama,Cherokee County,01
01021,0,0,AL,Alabama,Chilton County,01
01023,0,0,AL,Alabama,Choctaw County,01
01025,0,0,AL,Alabama,Clarke County,01
01027,0,0,AL,Alabama,Clay County,01
01029,0,0,AL,Alabama,Cleburne County,01
01031,0,0,AL,Alabama,Coffee County,01
01033,0,0,AL,Alabama,Colbert County,01
01035,0,0,AL,Alabama,Conecuh County,01
01037,0,0,AL,Alabama,Coosa County,01
01039,0,0,AL,Alabama,Covington County,01
01041,0,0,AL,Alabama,Crenshaw County,01
01043,0,0,AL,Alabama,Cullman County,01
01045,0,0,AL,Alabama,Dale County,01
01047,0,0,AL,Alabama,Dallas County,01
01049,0,0,AL,Alabama,DeKalb County,01
01051,0,0,AL,Alabama,Elmore County,01
01053,0,0,AL,Alabama,Escambia County,01
01055,0,0,AL,Alabama,Etowah County,01
01057,0,0,AL,Alabama,Fayette County,01
01059,0,0,AL,Alabama,Franklin County,01
01061,0,0,AL,Alabama,Geneva County,01
01063,0,0,AL,Alabama,Greene County,01
01065,0,0,AL,Alabama,Hale County,01
01067,0,0,AL,Alabama,Henry County,01
01069,0,0,AL,Alabama,Houston County,01
01071,0,0,AL,Alabama,Jackson County,01
01073,0,0,AL,Alabama,Jefferson County,01
01075,0,0,AL,Alabama,Lamar County,01
01077,0,0,AL,Alabama,Lauderdale County,01
01079,0,0,AL,Alabama,Lawrence County,01
01081,0,0,AL,Alabama,Lee County,01
01083,0,0,AL,Alabama,Limestone County,01
01085,0,0,AL,Alabama,Lowndes County,01
01087,0,0,AL,Alabama,Macon County,01
01089,0,0,AL,Alabama,Madison County,01
01091,0,0,AL,Alabama,Marengo County,01
01093,0,0,AL,Alabama,Marion County,01
01095,0,0,AL,Alabama,Marshall County,01
