fips,failures_count,failure_flag,usps,state_name,county_name,statefp,pred_prob
36115,0,0,NY,New York,Washington County,36,0.18316585890761244
12021,0,0,FL,Florida,Collier County,12,0.12061111572974301
17069,0,0,IL,Illinois,Hardin County,17,0.11708278963901265
06053,0,0,CA,California,Monterey County,06,0.11456167693213176
13145,0,0,GA,Georgia,Harris County,13,0.11084848231826443
36101,0,0,NY,New York,Steuben County,36,0.10989184336359016
54033,0,0,WV,West Virginia,Harrison County,54,0.10138180222189282
49023,0,0,UT,Utah,Juab County,49,0.09589895732141192
26027,0,0,MI,Michigan,Cass County,26,0.09520225112176685
48275,0,0,TX,Texas,Knox County,48,0.08974351643338772
51141,0,0,VA,Virginia,Patrick County,51,0.08875374657475092
51093,0,0,VA,Virginia,Isle of Wight County,51,0.08562538516298057
06093,0,0,CA,California,Siskiyou County,06,0.08437786502141371
25019,0,0,MA,Massachusetts,Nantucket County,25,0.08405465464046737
27093,0,0,MN,Minnesota,Meeker County,27,0.08344991477258398
45021,0,0,SC,South Carolina,Cherokee County,45,0.08307772358837945
38041,0,0,ND,North Dakota,Hettinger County,38,0.08215468069597173
26035,0,0,MI,Michigan,Clare County,26,0.08067831696761174
06089,0,0,CA,California,Shasta County,06,0.07984992205834678
08031,1,1,CO,Colorado,Denver County,08,0.07859799268322534
08053,0,0,CO,Colorado,Hinsdale County,08,0.07825502624553632
06103,0,0,CA,California,Tehama County,06,0.07713014261243538
06017,0,0,CA,California,El Dorado County,06,0.07638413092588618
06075,1,1,CA,California,San Francisco County,06,0.0750406461601284
27035,0,0,MN,Minnesota,Crow Wing County,27,0.07396551448876675
04027,0,0,AZ,Arizona,Yuma County,04,0.07277590249305924
37175,0,0,NC,North Carolina,Transylvania County,37,0.06902503591089829
26165,0,0,MI,Michigan,Wexford County,26,0.0681988767538613
37049,0,0,NC,North Carolina,Craven County,37,0.06776251894123607
48155,0,0,TX,Texas,Foard County,48,0.06765255919766792
39111,0,0,OH,Ohio,Monroe County,39,0.06759224686731467
35027,0,0,NM,New Mexico,Lincoln County,35,0.06692171495216896
42041,0,0,PA,Pennsylvania,Cumberland County,42,0.06672473885101418
13113,1,1,GA,Georgia,Fayette County,13,0.0665060080473414
42067,0,0,PA,Pennsylvania,Juniata County,42,0.06580453110712237
48183,0,0,TX,Texas,Gregg County,48,0.06492095623213782
22109,0,0,LA,Louisiana,Terrebonne Parish,22,0.06475257994019262
47105,0,0,TN,Tennessee,Loudon County,47,0.06400011125179485
26031,0,0,MI,Michigan,Cheboygan County,26,0.06390046987631189
12107,0,0,FL,Florida,Putnam County,12,0.06378103139825683
36059,0,0,NY,New York,Nassau County,36,0.06280879422026071
55101,0,0,WI,Wisconsin,Racine County,55,0.06214774861380028
39097,0,0,OH,Ohio,Madison County,39,0.060723530454417605
37011,0,0,NC,North Carolina,Avery County,37,0.06057218004098228
12093,0,0,FL,Florida,Okeechobee County,12,0.06016341066142844
30001,0,0,MT,Montana,Beaverhead County,30,0.05948378927805089
35013,0,0,NM,New Mexico,Doña Ana County,35,0.05929912196026953
27037,0,0,MN,Minnesota,Dakota County,27,0.05872327357831067
13081,0,0,GA,Georgia,Crisp County,13,0.05841859889214832
12023,0,0,FL,Florida,Columbia County,12,0.058012582360568506
12117,0,0,FL,Florida,Seminole County,12,0.057615202438636014
12035,0,0,FL,Florida,Flagler County,12,0.05721058448056937
17081,0,0,IL,Illinois,Jefferson County,17,0.05681985742935231
13089,0,0,GA,Georgia,DeKalb County,13,0.05639319257570575
12013,0,0,FL,Florida,Calhoun County,12,0.056347277640615846
39123,0,0,OH,Ohio,Ottawa County,39,0.0563180856898823
12121,0,0,FL,Florida,Suwannee County,12,0.05626299462452175
45011,0,0,SC,South Carolina,Barnwell County,45,0.05618395229365875
20129,1,1,KS,Kansas,Morton County,20,0.05596366544600555
37119,0,0,NC,North Carolina,Mecklenburg County,37,0.05517586490355656
37193,0,0,NC,North Carolina,Wilkes County,37,0.054617455260229424
12079,0,0,FL,Florida,Madison County,12,0.05441379171581487
48099,0,0,TX,Texas,Coryell County,48,0.053769134406403185
35023,0,0,NM,New Mexico,Hidalgo County,35,0.053455038400852244
48037,0,0,TX,Texas,Bowie County,48,0.05263148623938636
37039,0,0,NC,North Carolina,Cherokee County,37,0.052496954895599746
25015,0,0,MA,Massachusetts,Hampshire County,25,0.052129220941999586
53009,0,0,WA,Washington,Clallam County,53,0.05191970915881497
42093,0,0,PA,Pennsylvania,Montour County,42,0.05145562912651816
53003,0,0,WA,Washington,Asotin County,53,0.051435271306516234
21105,0,0,KY,Kentucky,Hickman County,21,0.05131555687590275
48111,0,0,TX,Texas,Dallam County,48,0.05131213612909882
48227,0,0,TX,Texas,Howard County,48,0.051187269242541335
18095,0,0,IN,Indiana,Madison County,18,0.05061954490777687
49007,0,0,UT,Utah,Carbon County,49,0.05056916332419864
19141,0,0,IA,Iowa,O'Brien County,19,0.05047369991062096
48191,0,0,TX,Texas,Hall County,48,0.05027680666353863
36113,0,0,NY,New York,Warren County,36,0.050184565334233176
35035,0,0,NM,New Mexico,Otero County,35,0.04988620180646866
26009,0,0,MI,Michigan,Antrim County,26,0.04981482318017143
36109,0,0,NY,New York,Tompkins County,36,0.04953012634762483
08091,0,0,CO,Colorado,Ouray County,08,0.04951618743158143
05005,0,0,AR,Arkansas,Baxter County,05,0.04944198309542571
41065,0,0,OR,Oregon,Wasco County,41,0.049349282636793015
46055,0,0,SD,South Dakota,Haakon County,46,0.049172448552258545
27163,0,0,MN,Minnesota,Washington County,27,0.049006018222763494
22071,1,1,LA,Louisiana,Orleans Parish,22,0.04895275662940459
06029,0,0,CA,California,Kern County,06,0.048913045657863724
29059,0,0,MO,Missouri,Dallas County,29,0.048273004954101174
18143,0,0,IN,Indiana,Scott County,18,0.048045067549137635
56015,0,0,WY,Wyoming,Goshen County,56,0.0479426972855688
06057,0,0,CA,California,Nevada County,06,0.047846444507262914
35031,0,0,NM,New Mexico,McKinley County,35,0.04767378597238956
45083,0,0,SC,South Carolina,Spartanburg County,45,0.04731718612722649
51193,0,0,VA,Virginia,Westmoreland County,51,0.04725885761421457
10005,0,0,DE,Delaware,Sussex County,10,0.04715461951083925
36083,0,0,NY,New York,Rensselaer County,36,0.047126625304367384
34003,0,0,NJ,New Jersey,Bergen County,34,0.04649514914200687
06083,0,0,CA,California,Santa Barbara County,06,0.04630568554026202
06099,0,0,CA,California,Stanislaus County,06,0.046128300948937405
